#;Código;Nombre genérico;Nombre comercial;Presentación
142;102052601;FITOMENADIONA (VITAMINA K) 10mg/ml, solución, I.M., I.V.;FITO K 1- (1- MG/ML) SOLUCION INYECTABLE I.M., I.V., S.C. | FITOMENADIONA 1-mg/1mL Emulsión Inyectable I.M., I.V. | FITOMENADIONA 1- MG/ML SOLUCION INYECTABLE I.M., S.C. | PHYTODON INYECCIÓN-1- (FITOMENADIONA INYECCIÓN BP 1- MG);Vial/Ampolla
143;102077201;FLUCONAZOL 2mg/ml, solución, I.V.;FLUCOXAN 2mg/mL Solución Inyectable I.V. | Fluconazol 2 mg/ml Solución Inyectable por Infusión I.V. | FLUCANIR 2 mg/ml SOLUCION PARA INFUSION INTRAVENOSA | FLUCONAZOL 2--MG/1--ML SOLUCIÓN INYECTABLE INFUSIÓN I.V;Vial/Ampolla
144;102091901;FLUDARABINA FOSFATO  50mg,  polvo liofilizado, I.V.;FLUDARABINA MICROSULES POLVO LIOFILIZADO PARA INYECTABLE;Vial/Ampolla
145;102075901;FLUMAZENIL 0.1mg/ml, solución, I.V.;FLUMAZENIL -.5MG/5ML SOLUCIÓN INYECTABLE I.V.;Vial/Ampolla
146;102097901;"FORMULACIÓN PARA ALIMENTACIÓN PARENTERAL EN BOLSA DE TRES CÁMARAS: NUTRICIÓN PARENTERAL PERIFÉRICA COMPLETA: EMULSIÓN LIPÍDICA 20%+ GLUCOSA 11% + AMINOÁCIDO Y ELECTROLITOS; solución, bolsa, 1440ml, I.V.";KAVIBEN P1 EMULSION PARA INFUSION I.V. | COMBIFLEX LIPID PERI INYECCION;Vial/Ampolla
147;102031702;FUROSEMIDA 10mg/ml, solución, I.M., I.V.;HENEXAL 2-mg/2mL Solución Inyectable I.M., I.V. Lenta | FUROSEMIDA 2- MG / 2 ML SOLUCIÓN INYECTABLE I.M., I.V. | FUROSEMIDA 2-MG/2ML SOLUCIÓN INYECTABLE;Vial/Ampolla
148;101051101;FUROSEMIDA 40mg, tableta, V.O.;FUROSEMIDA CINFA 4-MG COMPRIMIDOS | FUROSEMIDA 4- MG COMPRIMIDOS | FUROSEMIDA 4- MG TABLETAS BP;Pastilla - Cápsula
149;104009801;FUSIDATO SÓDICO 2%, ungüento, tubo, 15-20g, Vía Tópica.;ÁCIDO FUSÍDICO 2 % CREMA TÓPICA | FUCIDIN AL 2% UNGÜENTO;Crema/Ungüento
150;101013101;FÓLICO ÁCIDO 5mg, tableta, V.O.;Folitab 5 mg Tabletas | FOLIMEN 5MG COMPRIMIDOS. | FOLICIL 5 MG COMPRIMIDOS | FOLACÍN 5 (5 MG) COMPRIMIDOS;Pastilla - Cápsula
151;101093390;GABAPENTINA 300mg, cápsula, V.O.;;Pastilla - Cápsula
152;102075301;GANCICLOVIR 500mg, polvo liofilizado, I.V.;UMECORTIL 5--mg Polvo para solución Inyectable I.V | GANCICLOVIR 5-- MG POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE I.V.;Vial/Ampolla
153;102079801;GEMCITABINA CLORHIDRATO 1g, polvo liofilizado, I.V.;BIOGEM 1--- POLVO LIOFILIZADO PARA SOLUCIÒN INYECTABLE I.V. | GEMCITABINA 1---MG POLVO PARA SOLUCIÓN PARA INFUSIÓN;Vial/Ampolla
154;101000801;GLIBENCLAMIDA 5mg, tableta, V.O.;APO-GLYBURIDE 5MG TABLETAS | GLITISOL 5 MG COMPRIMIDOS | G-MIDE 5MG TABLETAS | LMG-DAOAVANCE 5MG TABLETAS;Pastilla - Cápsula
